plant,group,index,samples,mean,sd,median,wet_ref_c,dry_ref_c
Cabbage,control,CWSI,1,0.5263293385505676,,0.4966667890548706,16.826385498046875,26.092472076416016
Cabbage,control,ExG,1,0.6439875364303589,,0.6109169721603394,16.826385498046875,26.092472076416016
Cabbage,control,GNDVI,1,0.25238528847694397,,0.30937159061431885,16.826385498046875,26.092472076416016
Cabbage,control,NDRE,1,0.0787145122885704,,0.07642605900764465,16.826385498046875,26.092472076416016
Cabbage,control,NDVI,1,0.4922601878643036,,0.5468471050262451,16.826385498046875,26.092472076416016
Cabbage,control,OSAVI,1,0.5710200667381287,,0.6343410015106201,16.826385498046875,26.092472076416016
Cabbage,control,SAVI,1,0.7383832335472107,,0.820263683795929,16.826385498046875,26.092472076416016
Cabbage,control,Thermal_C,1,21.871370315551758,,21.428543090820312,16.826385498046875,26.092472076416016
Cabbage,test,CWSI,1,0.2381742149591446,,0.14595341682434082,16.826385498046875,26.092472076416016
Cabbage,test,ExG,1,0.46318280696868896,,0.4232299327850342,16.826385498046875,26.092472076416016
Cabbage,test,GNDVI,1,0.3561413586139679,,0.3902798295021057,16.826385498046875,26.092472076416016
Cabbage,test,NDRE,1,0.15701155364513397,,0.1582338511943817,16.826385498046875,26.092472076416016
Cabbage,test,NDVI,1,0.561129093170166,,0.5885934233665466,16.826385498046875,26.092472076416016
Cabbage,test,OSAVI,1,0.6509075164794922,,0.6827661395072937,16.826385498046875,26.092472076416016
Cabbage,test,SAVI,1,0.8416850566864014,,0.8828812837600708,16.826385498046875,26.092472076416016
Cabbage,test,Thermal_C,1,19.053062438964844,,18.178802490234375,16.826385498046875,26.092472076416016
